,keys,Actual TOW,Estimated TOW,Difference
2192,AB_2541_CCU_9,44746.0,0.0,44746.0
2193,AB_1071_DOH_5,45531.0,0.0,45531.0
2194,AB_2367_BOM_5,57868.0,14401.7,43466.3
2195,AB_2505_AMD_13,44377.0,0.0,44377.0
2196,AB_2608_AYJ_13,44377.0,0.0,44377.0
2197,AB_2608_DEL_13,44377.0,0.0,44377.0
2198,AB_2607_PNQ_13,44377.0,0.0,44377.0
2199,AB_2607_DEL_13,44377.0,0.0,44377.0
2200,AB_2510_PNQ_13,44377.0,0.0,44377.0
2201,AB_2637_BOM_6,58756.0,15975.0,42781.0
2202,AB_2638_SXR_6,45446.0,0.0,45446.0
2203,AB_2323_BLR_6,58776.0,16891.2,41884.8
2204,AB_2125_CCU_13,44377.0,0.0,44377.0
2205,AB_2371_GOX_10,44877.0,0.0,44877.0
2206,AB_2124_BOM_13,44377.0,0.0,44377.0
2207,AB_2172_BOM_12,44520.0,0.0,44520.0
2208,AB_2355_DEL_10,44877.0,0.0,44877.0
2209,AB_2485_BLR_11,44877.0,0.0,44877.0
2210,AB_2485_MAA_11,44877.0,0.0,44877.0
2211,AB_2642_BOM_10,44877.0,0.0,44877.0
2212,AB_2364_BLR_12,44877.0,0.0,44877.0
2213,AB_2630_DEL_11,44877.0,0.0,44877.0
2214,AB_2738_BOM_10,44877.0,0.0,44877.0
2215,AB_2359_BLR_9,44877.0,0.0,44877.0
2216,AB_2375_BLR_12,44520.0,0.0,44520.0
2217,AB_2173_CCU_12,44520.0,0.0,44520.0
2218,AB_2486_IXZ_11,44877.0,0.0,44877.0
2219,AB_2486_MAA_11,44877.0,0.0,44877.0
2220,AB_2509_PNQ_12,44877.0,0.0,44877.0
2221,AB_2127_BOM_10,44877.0,0.0,44877.0
2222,AB_2628_BLR_11,44877.0,0.0,44877.0
2223,AB_2643_HYD_10,44877.0,0.0,44877.0
2224,AB_2375_BLR_13,44377.0,0.0,44377.0
2225,AB_2624_GOX_12,44877.0,0.0,44877.0
2226,AB_2173_CCU_13,44377.0,0.0,44377.0
2227,AB_2625_DEL_12,44877.0,0.0,44877.0
2228,AB_2124_BOM_12,44520.0,0.0,44520.0
